image_address,title,vague-title,full-instructions,3_step_instruction
"images/30-Minute_Chicken_&_Dumplings.jpg",30-Minute Chicken & Dumplings,quick creamy lumps,"Dice tenders into bite size pieces and set aside. Wash hands. Place a large pot on stove over medium high heat. Add oil, butter, vegetables and bay leaf and cook 5 minutes, stirring frequently. Season mixture with salt, pepper and poultry seasoning. Add flour to the pan and cook 2 minutes. Stir broth or stock to the pot and bring to a boil. Add chicken to the broth and stir. Place biscuit mix in a bowl. Combine with 1/2 cup warm water and parsley. Drop tablespoonfuls of prepared mix into the pot, spacing dumplings evenly. Cover pot tightly and reduce heat to medium low. Steam dumplings 8 to 10 minutes. Remove cover and stir chicken and dumplings to thicken sauce a bit. Stir peas into the pan, remove chicken and dumplings from heat and serve in shallow bowls.","Cook Chicken & Base: Sauté veggies, add broth and chicken, then boil. Add Dumplings: Drop in dumpling mix and steam. Finish: Stir in peas, thicken, and serve."
"images/Amish_Chicken.jpg",Amish Chicken,buttery farm meat,Dredge the chicken pieces in the flour and spices and arrange skin side up in a baking dish. Mix the cream and water and pour over the chicken. Bake at 350* for 1 1/2 hours or until the skin is golden brown.,Coat Chicken: Dredge chicken in seasoned flour and place in a dish. Add Cream: Pour mixed cream and water over it. Bake: Cook at 350°F until golden.
"images/Angel_Chicken_Pasta.jpg",Angel Chicken Pasta,soft creamy swirls,"Preheat oven to 325°F. In large saucepan melt butter. Add dressing mix, wine and soup. Mix in cream cheese and stir until smooth. Place chicken in baking dish and cover with sauce. Bake for 60 minutes. Ten minutes before chicken is done cook pasta. Serve chicken and sauce over pasta.","Make Sauce: Melt butter, add dressing, wine, soup, cream cheese. Bake Chicken: Cover chicken with sauce, bake at 325°F for 60 mins. Serve: Cook pasta, serve chicken & sauce over it."
"images/Asian_Noodle_Bowl.jpg",Asian Noodle Bowl,soy noodle thing,"Bring a large pot of water to a boil. Toast the almonds in a dry skillet over a medium-heat heat, stirring frequently, until they are golden, about 3 minutes. Cook the pasta according to the directions on the package. Three minutes before the pasta is ready add the broccoli to the pasta pot. One minute before it is ready add the snow peas and red peppers to the pot. While the pasta is cooking, make the sauce. Place the almond butter, soy sauce, lime juice, brown sugar, chili-garlic sauce and three tablespoon of boiling water (from the pasta pot) into a large bowl and whisk until smooth. Drain the noodles and vegetables, return them to the pasta pot, add the sauce and toss to coat. Serve garnished with the toasted almonds and scallion greens.","Prep & Toast: Boil water. Toast almonds until golden. Cook Pasta & Veggies: Cook pasta; add broccoli, then snow peas & peppers towards the end. Sauce & Serve: Whisk almond butter, soy, lime, sugar, chili-garlic sauce & pasta water. Toss with drained pasta/veggies; garnish with almonds & scallions."
"images/Award_Winning_Chili.jpg",Award Winning Chili,spicy bean mess,"In a medium Dutch oven over medium-high heat add the olive oil. Add the ground meat and cook, breaking up into pieces, until browned. Add the onions, bell pepper and jalapeno and cook until softened. Drain excess grease. Add the tomatoes, tomato sauce, cumin, chili powder, salt, cayenne, paprika and 1 cup water. Mix to combine. Add the kidney beans and black beans, mix and bring to a simmer. Cover and cook for 1-2 hours. Serve with desired toppings.","Heat oil, brown ground meat. Add onions, peppers, jalapeno; cook until soft. Drain grease. Stir in tomatoes, sauce, spices, water, and beans. Simmer covered for 1-2 hours. Serve with your favorite toppings"
"images/Baked_Salmon.jpg",Baked Salmon,pink baked slab,"In a medium glass bowl, prepare marinade by mixing garlic, light olive oil, basil, salt, pepper, lemon juice and parsley. Place salmon fillets in a medium glass baking dish, and cover with the marinade. Marinate in the refrigerator about 1 hour, turning occasionally. Preheat oven to 375 degrees F (190 degrees C). Place fillets in aluminum foil, cover with marinade, and seal.... Place sealed salmon in the glass dish, and bake 35 to 45 minutes, until easily flaked with a fork.","Mix garlic, oil, basil, salt, pepper, lemon juice, parsley. Marinate salmon in fridge for 1 hour. Preheat oven to 375°F. Seal salmon and marinade in foil. Place foil-sealed salmon in dish, bake 35-45 minutes until flaky."
"images/Balsamic_Chicken_Thighs.jpg",Balsamic Chicken Thighs,dark sweet thighs,"Spray large frying pan, preheat. Rinse and pat dry thighs. Season with salt and pepper. Brown well on all sides. Cover, reduce heat to medium and cook for approximately 25 minutes,or'til thighs are done depending on size. Add shallots,cook for 2-3 minutes,until they soften. Stir in balsamic vinegar, cook for about 1 more minute,turn chicken to coat thoroughly. Spoon sauce over thighs to serve.","Prep & Brown: Preheat sprayed pan. Season chicken thighs and brown well on all sides. Cook & Add Aromatics: Cover, reduce heat, cook ~25 mins until done. Add and soften shallots. Sauce & Serve: Stir in balsamic vinegar, coat chicken, and serve with sauce spooned over."
"images/Beef_Nacho_Crescent_Bake.jpg",Beef Nacho Crescent Bake,beefy crunchy pie,"Set oven to 375 degrees. Grease a 13 x 9-inch baking dish. In a large skillet cook the ground beef with onion, garlic and green bell pepper (if using) until beef is browned; drain fat. Add in salt, pepper, chili powder, cumin and oregano and Parmesan cheese; cook stirring for 2 minutes longer; remove the skillet from heat. In a bowl whisk together the cheese soup and milk; set aside. Separate the crescent dough into 4 rectangles; press perforations together firmly. Roll each rectangle to 8x4 inches. Cut each rectangle in half crosswise to form 8 (4-inch) squares (use a pizza cutter for this!). Spoon about 1/4 cup beef mixture into center of each square. Lift 4 corners of the dough up over the filling to meet in the center; pinch and twist firmly to seal. Place the squares into the prepared baking dish. Drizzle the soup/milk mixture around the squares in the baking dish. Bake uncovered for about 20-25 minutes, or until the crusts are golden brown. Remove from oven and sprinkle the grated cheese over each square and return to oven for 5 minutes or until the cheese melted.","Preheat oven to 375°F, grease dish. Cook beef with onion, garlic, pepper, and spices; drain. Mix soup & milk. Roll crescent dough, cut into squares, fill with beef, seal, and place in dish; drizzle with soup mix. Bake 20-25 mins until golden. Sprinkle with cheese, bake 5 more mins until melted."
"images/Beer_Bread.jpg",Beer Bread,fluffy malt loaf,"Preheat oven to 375 degrees. Mix dry ingredients and beer. Pour into a greased loaf pan. Pour melted butter over mixture. Bake 1 hour, remove from pan and cool for at least 15 minutes. UPDATED NOTES: This recipe makes a very hearty bread with a crunchy, buttery crust. If you prefer a softer crust (like a traditional bread) mix the butter into the batter instead of pouring it over the top. Sifting flour for bread recipes is a must-do. Most people just scoop the 1 cup measure in the flour canister and level it off. That compacts the flour and will turn your bread into a ""hard biscuit"" as some have described. That's because they aren't sifting their flour! If you do not have a sifter, use a spoon to spoon the flour into the 1 cup measure. Try it once the ""correct"" way and you will see an amazing difference in the end product. I have had many email from you kind folks about using non-alcoholic beverages instead of beer. That is fine to do but I highly recommend adding a packet of Dry Active Yeast or 2 teaspoons of Bread (Machine) Yeast so that you get a proper rise. The final result should be a thick, hearty and very tasteful bread, NOT A BRICK! ;). Thank you all for the incredibly nice comments and those of you who left a bad review - learn to sift sift SIFT! You will be amazed at the results you get.","Mix & Bake: Preheat oven to 375°F. Mix sifted dry ingredients with beer, pour into greased pan, top with melted butter, and bake for 1 hour. Sift Flour Crucial: For best results (not a ""brick""), sift flour or spoon it lightly into the measuring cup.... Tips & Variations: For softer crust, mix butter into batter. If using non-alcoholic liquid, add yeast."
"images/Best_Ever_Bruschetta.jpg",Best Ever Bruschetta,tomato bread bites,"In a medium mixing bowl, add the tomatoes, garlic, basil, vinegar, olive oil, cheese, salt and pepper. Mix thoroughly and let sit for at least 15 minutes at room temperature to let the flavors marinate. Slice the bread into individual pieces and spoon the mixture on top.","Mix Ingredients: Combine tomatoes, garlic, basil, vinegar, olive oil, cheese, salt, and pepper in a bowl. Marinate: Let the mixture sit for at least 15 minutes to blend flavors. Serve: Slice bread and spoon the tomato mixture on top."
